id,x,y
000exsl1k9m31,-3.52,0.21
000tp0nptyl31,-3.55,0.22
002n2yh2fsl31,0.25,-1.48
003f33l3p0m31,4.73,1.91
0040fox3dul31,-16.58,-0.31
004aoaegkyl31,2.6,-4.85
0066ay7q0ml31,-17.62,-0.83
006ho331qml31,0.17,2.56
009sa6kkxul31,2.38,-1.31
00c7rfl74tl31,-0.64,-2.3
00cnju2fscm31,-3.57,0.19
00fiyr3r0tl31,-3.56,0.19
00fqlrd885m31,0.33,-1.86
00fruiyyyrl31,-3.46,0.13
00g0juqfi5m31,-17.63,-0.3
00gfgmy158m31,-3.55,0.2
00gvzfi2lfm31,-3.56,0.19
00gxmbp0msl31,-3.57,0.18
00h8zn4jeol31,-17.8,-0.01
00i9x3eg49m31,-3.56,0.2
00j31pjpe5m31,-3.56,0.2
00jopz15tem31,-3.53,0.2
00kjcm9s1em31,-3.54,0.22
00kkvra02ul31,-3.55,0.19
00kn7awyp0m31,-3.57,0.18
00m8b6y43ol31,-3.59,0.15
00mfvphaeam31,-3.56,0.19
00nxa7ag79m31,-3.49,0.23
00ovuq6pm1m31,-3.56,0.19
00p2pzea2ml31,-17.07,-0.12
00r79qcux9m31,-17.34,-1.26
00srmwc79ol31,-3.54,0.21
00t2f3qasml31,-18.23,-0.9
00tq7h0feml31,-3.52,0.17
00txslgc98m31,-3.54,0.19
00ufkwahu6m31,-16.97,-0.85
00vs9d9kv5m31,-0.48,-2.38
00wtkm9rlsl31,0.39,-2.62
00xbx6a1qul31,-17.68,-0.75
00xynldfcul31,-3.56,0.19
00y8vznqaem31,-3.55,0.2
00zthvlansl31,-3.49,0.13
010kpe10u8m31,-16.71,-1.08
0115tdaltsl31,3.31,-0.01
012n29pojsl31,4.97,2.12
013xunoeknl31,-17.55,-0.93
0140mkm907m31,-0.04,-1.35
014wupemw5m31,1.99,2.17
01544wn3zsl31,4.88,-2.2
0157yhnmyem31,1.83,-2.51
016rswvvbsl31,1.87,-1.27
017vgyng6ml31,-17.36,-0.51
017zuov141m31,-17.35,0.03
019j4o7mv5m31,0.54,1.15
